Key,English,Translation
ingredient_taro_leaves_fresh,Taro leaves (fresh),
ingredient_water_hyacinth_fresh,Water hyacinth (fresh),
ingredient_banana_pseudostem_fresh,Banana pseudostem (fresh),
ingredient_azolla_fresh,Azolla (fresh),
ingredient_duckweed_fresh,Duckweed (fresh),
ingredient_coffee_pulp_dried,Coffee pulp (dried),
ingredient_cacao_cocoa_pod_husks_dried,Cacao/Cocoa pod husks (dried),
ingredient_mango_seed_kernel_meal,Mango seed kernel meal,
ingredient_palm_oil_decanter_cake,Palm oil decanter cake,
ingredient_bambara_groundnut_meal,Bambara groundnut meal,
ingredient_sugarcane_bagasse_dried,Sugarcane bagasse (dried),
ingredient_jackfruit_waste_fresh,Jackfruit waste (fresh),
ingredient_potato_peels_dried,Potato peels (dried),
ingredient_stylosanthes_foliage_dried,Stylosanthes foliage (dried),
ingredient_gliricidia_leaf_meal,Gliricidia leaf meal,
ingredient_cowpea_pods_husks,Cowpea pods/husks,
ingredient_groundnut_hulls,Groundnut hulls,
ingredient_maize_gluten_feed,Maize gluten feed,
ingredient_jackfruit_seeds_dried,Jackfruit seeds (dried),
ingredient_linseed_meal,Linseed meal,
ingredient_guar_meal,Guar meal,
ingredient_safflower_meal,Safflower meal,
save_to_pig_profile,Save Weight to Pig Profile,
select_pig_optional,Select Pig (Optional),
clear_selection,Clear Selection,
weight_saved_success,Weight saved successfully for pig %s!,
current_weight_label,Current Weight: %.1f kg,
save_weight_btn_label,Save %.1f kg to Pig %s,
all_tips,All,
cat_weaning,Weaning,
cat_feeding,Feeding & Nutrition,
cat_breeding,Breeding & Farrowing,
cat_health,Biosecurity & Health,
cat_housing,Housing & Ventilation,
cat_waste,Waste & Environment,
cat_general,General Management,
